,cv_roc_auc,cv_std,roc_auc,f1_score,recall,precision,accuracy,training_time
XGBoost,0.8073744953616652,0.0037739087275682555,0.8100312362529741,0.2627203192550715,0.9065573770491804,0.1536196455358631,0.6230782308794598,4.362256765365601
Gradient Boosting,0.8074172159806233,0.0034148554629802627,0.8100259255739511,0.0006550933508024893,0.0003278688524590164,0.3333333333333333,0.9258980399776553,68.46433854103088
Random Forest,0.8023934671056034,0.003781422250419877,0.8038431169514724,0.262447976733691,0.8580327868852459,0.15491623749482034,0.6427513176110558,25.291594982147217
Logistic Regression,0.7810781934114237,0.004025440183608482,0.7761450490496034,0.24705521741034286,0.9249180327868852,0.1425683529590135,0.5823719427780342,99.92528128623962
