threshold,precision,recall,f1_score,n_predicted_positive
0.0031711978372186422,0.0740776722609477,1.0,0.13793727246003212,41173
0.0034436238929629326,0.07407947148547557,1.0,0.1379403916602596,41172
0.00349809555336833,0.07408127079740594,1.0,0.13794351100156035,41171
0.003575532464310527,0.0740830701967452,1.0,0.13794663048394393,41170
0.0036893775686621666,0.07408486968349973,1.0,0.1379497501074199,41169
0.0037632090970873833,0.07408666925767586,1.0,0.13795286987199784,41168
0.0037765689194202423,0.07408846891928,1.0,0.1379559897776873,41167
0.0038695819675922394,0.07409026866831851,1.0,0.1379591098244979,41166
0.0038717680145055056,0.07409206850479777,1.0,0.1379622300124392,41165
0.0038992927875369787,0.07409386842872413,1.0,0.1379653503415208,41164
0.004022818058729172,0.07409566844010397,1.0,0.1379684708117522,41163
0.004023601766675711,0.07409746853894368,1.0,0.13797159142314303,41162
0.004040699917823076,0.07409926872524963,1.0,0.13797471217570287,41161
0.004071293864399195,0.07410106899902819,1.0,0.1379778330694413,41160
0.004074364900588989,0.07410286936028572,1.0,0.1379809541043679,41159
0.0040830448269844055,0.07410466980902862,1.0,0.13798407528049222,41158
0.00409237015992403,0.07410647034526326,1.0,0.13798719659782388,41157
0.0040925838984549046,0.07410827096899601,1.0,0.13799031805637244,41156
0.004093120340257883,0.07411007168023326,1.0,0.1379934396561475,41155
0.004120505880564451,0.07411187247898139,1.0,0.13799656139715863,41154
0.00412778090685606,0.07411367336524677,1.0,0.13799968327941542,41153
0.004143649246543646,0.07411547433903577,1.0,0.13800280530292747,41152
0.004154748283326626,0.07411727540035479,1.0,0.13800592746770435,41151
0.004165039863437414,0.07411907654921021,1.0,0.13800904977375567,41150
0.0041807787492871284,0.0741208777856084,1.0,0.13801217222109097,41149
0.004205097910016775,0.07412267910955575,1.0,0.13801529480971989,41148
0.004215968307107687,0.07412448052105865,1.0,0.13801841753965202,41147
0.0042177606374025345,0.07412628202012346,1.0,0.13802154041089693,41146
0.004220298491418362,0.07412808360675659,1.0,0.1380246634234642,41145
0.004222844261676073,0.07412988528096441,1.0,0.13802778657736345,41144
0.0042572966776788235,0.07413168704275333,1.0,0.13803090987260425,41143
0.004258016590029001,0.0741334888921297,1.0,0.13803403330919622,41142
0.004262782633304596,0.07413529082909992,1.0,0.13803715688714896,41141
0.004272823221981525,0.0741370928536704,1.0,0.13804028060647205,41140
0.004273831378668547,0.0741388949658475,1.0,0.13804340446717508,41139
0.004280957859009504,0.0741406971656376,1.0,0.13804652846926768,41138
0.004302268847823143,0.07414249945304714,1.0,0.13804965261275942,41137
0.004309676121920347,0.07414430182808246,1.0,0.13805277689765988,41136
0.004336928483098745,0.07414610429074997,1.0,0.1380559013239787,41135
0.0043416377156972885,0.07414790684105606,1.0,0.1380590258917255,41134
0.0043473574332892895,0.07414970947900712,1.0,0.13806215060090984,41133
0.004356009885668755,0.07415151220460955,1.0,0.13806527545154135,41132
0.004359995014965534,0.07415331501786973,1.0,0.1380684004436296,41131
0.004386503715068102,0.07415511791879406,1.0,0.13807152557718425,41130
0.004406300373375416,0.07415692090738894,1.0,0.13807465085221485,41129
0.004408679436892271,0.07415872398366076,1.0,0.13807777626873105,41128
0.004411185625940561,0.07416052714761592,1.0,0.13808090182674243,41127
0.004446092993021011,0.0741623303992608,1.0,0.1380840275262586,41126
0.004449399653822184,0.07416413373860183,1.0,0.1380871533672892,41125
0.004462950862944126,0.07416593716564536,1.0,0.1380902793498438,41124
0.004466498736292124,0.07416774068039783,1.0,0.13809340547393203,41123
0.004484320990741253,0.07416954428286562,1.0,0.13809653173956352,41122
0.004489769693464041,0.07417134797305514,1.0,0.13809965814674788,41121
0.004490419756621122,0.07417315175097276,1.0,0.13810278469549467,41120
0.004501009359955788,0.07417495561662492,1.0,0.13810591138581357,41119
0.0045075733214616776,0.074176759570018,1.0,0.13810903821771417,41118
0.004512617364525795,0.0741785636111584,1.0,0.13811216519120612,41117
0.004546018783003092,0.07418036774005253,1.0,0.13811529230629896,41116
0.004547762684524059,0.0741821719567068,1.0,0.1381184195630024,41115
0.004553311970084906,0.07418397626112759,1.0,0.13812154696132597,41114
0.004586558323353529,0.07418578065332133,1.0,0.13812467450127935,41113
0.0045895264483988285,0.07418758513329442,1.0,0.13812780218287216,41112
0.004589918535202742,0.07418938970105325,1.0,0.13813093000611398,41111
0.0045922440476715565,0.07419119435660423,1.0,0.1381340579710145,41110
0.004609171766787767,0.07419299909995378,1.0,0.13813718607758327,41109
0.0046244277618825436,0.0741948039311083,1.0,0.13814031432582996,41108
0.004631201736629009,0.0741966088500742,1.0,0.1381434427157642,41107
0.004635408520698547,0.07419841385685788,1.0,0.1381465712473956,41106
0.004652675706893206,0.07420021895146575,1.0,0.13814969992073378,41105
0.004657248966395855,0.07420202413390424,1.0,0.13815282873578838,41104
0.004658997990190983,0.07420382940417974,1.0,0.13815595769256903,41103
0.004660948645323515,0.07420563476229868,1.0,0.13815908679108535,41102
0.004670905414968729,0.07420744020826744,1.0,0.13816221603134696,41101
0.004670971538871527,0.07420924574209246,1.0,0.13816534541336353,41100
0.004678510595113039,0.07421105136378014,1.0,0.13816847493714468,41099
0.00468661542981863,0.0742128570733369,1.0,0.1381716046027,41098
0.004688528832048178,0.07421466287076915,1.0,0.1381747344100392,41097
0.0047190142795443535,0.07421646875608331,1.0,0.13817786435917184,41096
0.004727686755359173,0.0742182747292858,1.0,0.1381809944501076,41095
0.004733957815915346,0.07422008079038303,1.0,0.1381841246828561,41094
0.0047366744838654995,0.0742218869393814,1.0,0.138187255057427,41093
