threshold,precision,recall,f1,n_positive
0.1,0.3990716120600297,0.9871794871794872,0.5683751083154145,22189
0.11,0.4033544505719885,0.9866220735785953,0.572611691630811,21941
0.12,0.4063276004782489,0.9850613154960981,0.5753353301211095,21746
0.13,0.4099479843953186,0.9840579710144928,0.5787817192315258,21532
0.13999999999999999,0.41234510170680383,0.9830546265328874,0.580991599407017,21385
0.14999999999999997,0.4150650084793669,0.9822742474916388,0.5835485793761176,21228
0.15999999999999998,0.4175162406942008,0.9816053511705686,0.5858478325958948,21089
0.16999999999999998,0.41947940503432496,0.9809364548494983,0.5876577840112202,20976
0.17999999999999997,0.4215296092064253,0.9800445930880713,0.5895054484492875,20855
0.18999999999999995,0.4242014207703088,0.9785953177257525,0.5918484307049185,20693
0.19999999999999996,0.4267088299683775,0.9778149386845039,0.5941405588484335,20555
0.20999999999999996,0.42869024903371006,0.9768115942028985,0.5958720119691251,20439
0.21999999999999995,0.43053983563800996,0.9753623188405797,0.5973848622443754,20321
0.22999999999999995,0.43300297324083253,0.9741360089186176,0.5995197255574614,20180
0.23999999999999994,0.43484757919904365,0.9732441471571907,0.6011154720099153,20076
0.24999999999999992,0.4367453279222406,0.9717948717948718,0.6026478620069826,19959
0.2599999999999999,0.43878580072609924,0.9701226309921962,0.6042635928060551,19832
0.2699999999999999,0.44071406836393145,0.9687848383500557,0.6058282208588958,19718
0.2799999999999999,0.4431284459873392,0.967670011148272,0.6078857062819525,19588
0.2899999999999999,0.4447296811623967,0.9656633221850613,0.6089921608605476,19477
0.29999999999999993,0.44736705845803343,0.9632107023411371,0.6109677191245625,19313
0.30999999999999994,0.45019317113918766,0.9613154960981048,0.6132129142369507,19154
0.3199999999999999,0.4524122691639922,0.9586399108138238,0.6147192336562176,19007
0.32999999999999985,0.4543385038911536,0.9567447045707915,0.6161025162425069,18889
0.33999999999999986,0.4567374373199616,0.954515050167224,0.617838071871843,18746
0.34999999999999987,0.4587830943558348,0.952396878483835,0.619259903591751,18621
0.3599999999999999,0.46120946348329817,0.9497212931995541,0.620895739951168,18471
0.3699999999999999,0.4640751255732693,0.947603121516165,0.6230301253390017,18316
0.3799999999999999,0.46756756756756757,0.9450390189520624,0.6256088560885609,18130
0.3899999999999999,0.4703328509406657,0.9420289855072463,0.6274131274131274,17966
0.3999999999999998,0.4732524162733198,0.938907469342252,0.6293058357617873,17796
0.4099999999999998,0.4759852565920045,0.9357859531772575,0.6310092087953392,17635
0.4199999999999998,0.4791821774239734,0.9327759197324414,0.633120199765427,17461
0.4299999999999998,0.48200439763916214,0.9286510590858417,0.6346183147950633,17282
0.43999999999999984,0.4847794332456909,0.9249721293199554,0.6361510446616829,17115
0.44999999999999984,0.4875184420182945,0.920958751393534,0.6375458228825005,16945
0.45999999999999985,0.49090258306985624,0.9173913043478261,0.6395678700501302,16763
0.46999999999999986,0.494170945333736,0.9120401337792642,0.6410186092066601,16555
0.47999999999999976,0.49895871615827514,0.9081382385730212,0.6440543959519291,16326
0.48999999999999977,0.5023561507936508,0.9032329988851728,0.6456291337955216,16128
0.4999999999999998,0.5062574680837684,0.8974358974358975,0.6473402758232479,15901
0.5099999999999998,0.5111678366305041,0.8929765886287625,0.6501623376623377,15670
0.5199999999999998,0.5162944689690989,0.8866220735785953,0.6525806186920489,15404
0.5299999999999998,0.5215468884049363,0.8810479375696767,0.6552253036521163,15153
0.5399999999999998,0.5261604507646901,0.8744704570791527,0.6570064494513779,14908
0.5499999999999998,0.5313481764786231,0.867335562987737,0.658986955785194,14642
0.5599999999999997,0.5368281815650237,0.8596432552954292,0.6609239736007543,14364
0.5699999999999997,0.5426803243704652,0.8505016722408026,0.6625846795205836,14058
0.5799999999999997,0.5476726454142764,0.8408026755852843,0.6632953695967636,13771
0.5899999999999997,0.5534175334323923,0.8304347826086956,0.6641997325011145,13460
0.5999999999999998,0.5593130177065126,0.8205128205128205,0.6651904740385919,13159
0.6099999999999998,0.5658631415241058,0.8112597547380156,0.6666972056802565,12860
0.6199999999999998,0.5747447351627313,0.8032329988851727,0.6700455686785083,12536
0.6299999999999997,0.5812755519215045,0.7925306577480491,0.6706603773584906,12230
0.6399999999999997,0.587869623655914,0.7801560758082497,0.6704991855897289,11904
0.6499999999999997,0.595301839537093,0.7684503901895207,0.6708842279429656,11579
0.6599999999999997,0.6014743760547118,0.7549609810479375,0.6695338375599387,11259
0.6699999999999997,0.6097650513950074,0.7406911928651059,0.6688815060908084,10896
0.6799999999999997,0.6183501842577719,0.7295429208472687,0.6693602004807446,10583
0.6899999999999997,0.6267019296698991,0.7132664437012263,0.6671880702852078,10209
0.6999999999999996,0.6352845693415846,0.6981047937569677,0.6652148510118447,9857
0.7099999999999996,0.6450831754053485,0.6830546265328874,0.6635260991986138,9498
0.7199999999999996,0.6529520899268798,0.6670011148272018,0.6599018364308168,9163
0.7299999999999996,0.6615680942669386,0.6509476031215161,0.656214879748258,8826
0.7399999999999997,0.6710759418920514,0.6334448160535117,0.6517176119745369,8467
0.7499999999999997,0.6791548949760472,0.6163879598662207,0.6462509496814914,8141
0.7599999999999997,0.6876772364011343,0.5947603121516165,0.6378527020564323,7758
0.7699999999999997,0.6991210277214334,0.5763656633221851,0.6318362358692331,7395
0.7799999999999997,0.7100954008258579,0.5559643255295429,0.6236478459325955,7023
0.7899999999999996,0.7198804185351271,0.5369007803790412,0.6150702426564496,6690
0.7999999999999996,0.7302538231120921,0.5163879598662208,0.6049761640436231,6343
0.8099999999999996,0.7391665283081521,0.4963210702341137,0.5938771426665778,6023
