,CV_ROC_AUC_Mean,CV_ROC_AUC_Std,Test_ROC_AUC,Test_Precision,Test_Recall,Test_F1
XGBoost,0.9071383616683889,0.0020009945356645395,0.9075336448258091,0.49700964237763945,0.9079152731326644,0.642372613976968
Gradient_Boosting,0.9065747621896545,0.00202931794020497,0.9074041932499625,0.7125368731563422,0.5385730211817168,0.6134603174603175
Random_Forest,0.8981621396805257,0.002299508311350781,0.8999546407992691,0.47994870599207273,0.9179487179487179,0.630329939523846
Logistic_Regression,0.8855111195123678,0.002542445981376201,0.8885326972763467,0.4699994213967483,0.9055741360089187,0.6188245152934903
